id,year,prev_sents,sentence,next_sents,Label,category
29158,1990,"Das geht zunächst einmal die Länder und Kommunen an.
 Zunehmend erkennen aber auch Unternehmer, daß sie ihren Arbeitnehmerinnen in der Frage der Kinderbetreuung hilfreich sein müssen.
 Meine Damen und Herren, wer mit Frauen und Frauenverbänden in der DDR spricht, hört aber noch eine andere Forderung.
 In der DDR wünschen sich viele Menschen endlich mehr Zeit für ihre Kinder, Zeit, die sie in den vergangenen Jahrzehnten nicht aufwenden durften, weil das sozialistische System sie als Arbeitnehmer voll in Anspruch genommen hat.
","Die Frauen fordern drüben die Wahlfreiheit, die wir von der Union hier bei uns politisch verwirklicht haben.
","(Widerspruch bei der SPD)   — Doch, wir haben sie in einem großen Umfang verwirklicht.
 Wir wollen sie ja weiter ausbauen.
 Deshalb werden wir fortfahren, die Arbeit in der Familie durch soziale Leistungen zu fördern, Mütter sozial abzusichern und zumindest einem Elternteil die Möglichkeit zu geben, daß er bei seinen Kindern zu Hause bleiben kann.
 Vielen Dank.
",0,woman
31831,1988,"Wahlperiode — 84.
 Sitzung.
 Bonn, Freitag, den 10. Juni 1988   Wartenberg (Berlin)   kannt würden, so ist es viel wichtiger festzustellen, daß von den 90 %, die nicht anerkannt werden, die überwiegende Zahl hierbleibt.
 Die Menschen können nämlich auf Grund der Genfer Konvention und auf Grund allgemeiner Menschenrechtsüberlegungen gar nicht abgeschoben werden.
","Das heißt, wir müssen uns im Augenblick eigentlich nicht so sehr um die Asylbewerber und das Verfahren kümmern — das ist nicht der Punkt — , sondern um die Lage der 270 000 bis 300 000 De-facto-Flüchtlinge, die in der Bundesrepublik Deutschland leben.
","Ich meine, hierzu müssen die Bundesregierung und auch die Länder endlich etwas aussagen, weil diese Menschen keinen rechtlich gesicherten Status in der Bundesrepublik Deutschland haben.
 Dieser Anteil wird eben immer größer, wenn die Anerkennungsquote immer kleiner wird — auf unter 10 % —; denn die Menschen bleiben trotzdem in der Bundesrepublik Deutschland, weil wir ihnen gegenüber eine Verpflichtung haben.
 Das ist bei den Ostblockflüchtlingen ganz besonders deutlich geworden.
 Diesen De-facto-Flüchtlingen, denen gemeinsam ist, daß sie weder Asylberechtigte noch Kontingentflüchtlinge sind, muß in erster Linie geholfen werden.
",0,migrant
43408,1996,"Die feministische Lesbenbewegung kämpft seit Jahrzehnten gegen dieses Verschwindenmachen an.
 Deshalb haben wir von der SPD-Fraktion im Frauenausschuß zu den Haushaltsberatungen auch immer wieder Anträge zur Förderung von Lesbenprojekten gestellt.
 Die Regierungsfraktionen haben sie immer wieder abgelehnt.
 Das nenne ich eine feine Fürsorge: keine gesetzliche Unterstützung, keine materielle Unterstützung.
","Auch auf der UN-Regierungskonferenz der Frauen in Peking hat Ministerin Nolte nicht dafür gestritten, daß die Gleichberechtigung der lesbischen Frauen im Abschlußdokument festgehalten wird.
","Da müssen sich die lesbischen Frauen wieder einmal selbst helfen.
 Eben in diesen Tagen läuft in Deutschland eine Kampagne „Come out - Lesben kommen raus"".
 Wenn lesbische Frauen totgeschwiegen werden, müssen sie sich um so lauter melden.
 Wir unterstützen sie dabei.
",0,woman
50989,1996,"Da gibt es in der Tat eine Reihe von unterschiedlichen Vorschlägen.
 Wir sind gefordert, die Vorschläge in der nächsten Zeit umzusetzen.
 (Beifall bei Abgeordneten der CDU/CSU  Zuruf von der SPD: Dann tun Sie das doch   endlich einmal!)
 Zur Schaffung neuer Arbeitsmöglichkeiten brauchen wir auch neue Beschäftigungsfelder.
","Derzeit werden 80 Ausbildungsberufe modernisiert, gerade auch im Hinblick darauf: Welche Chancen bekommen Frauen zukünftig in solchen modernen Ausbildungsberufen?
","30 neue Berufsbilder sind in Prüfung, der Altenpflegerberuf eingeschlossen.
 Zu den Beschäftigungsfeldern mit Zuwachs gehören auch die familien- und haushaltsbezogenen Dienstleistungen in den Privathaushalten.
 Das Institut der deutschen Wirtschaft schätzt dieses Beschäftigungspotential auf bis zu 870 000 Arbeitsplätze.
 Das ist vielleicht sehr optimistisch geschätzt.
",0,woman
23118,1986,"Dieses Gesetz soll Beschäftigung erleichtern.
 Es darf aber Arbeitsplätze nicht in sozial ungesicherte umwandeln.
 Wir Frauen in der CDU/CSU werden die Auswirkungen genau prüfen und es nicht zulassen, daß Frauenarbeitsplätze sozial deklassifiziert werden.
 Teilzeitarbeit und flexiblere Arbeitszeiten werden von Frauen immer mehr als humaner Ausweg angesehen, um Familie und Beruf besser aufeinander abzustimmen.
","Über 200 000 Frauen suchen Teilzeitarbeitsplätze, aber das Angebot ist erschrekkend mager.
","Arbeitgeber und Arbeitnehmer müssen ihre Reserve gegenüber flexibleren Arbeitszeiten abbauen.
 Die Tarifparteien können viel dazu beitragen, daß Familie und Beruf wieder versöhnt werden.
 Warum sollen Arbeitszeitverkürzungen und Teilzeitarbeitsplätze nicht vor allem Müttern und Vätern zugute kommen, die kleine oder behinderte Kinder zu versorgen haben, die aber beide in der Arbeitswelt bleiben wollen?
 Die dritte industrielle Revolution schafft sicherlich zusätzliche Probleme, vor allem in traditionellen Frauenberufen.
",0,woman
66007,2009,"Ich möchte hinzufügen: Im Hinblick auf die Situation  auf dem Arbeitsmarkt betrachte ich es als durchaus posi tiv, dass ein Teil der Betriebe von der im Rahmen der   Arbeitszeitkonten geschaffenen Flexibilität Gebrauch   gemacht hat; auch diese Regelung bietet nämlich eine   Möglichkeit, besser durch die Krise zu kommen.
 Die  zeitliche Inanspruchnahme ist allerdings sehr unter schiedlich.
 Die konkreten Zahlen werde ich Ihnen gerne   nachreichen.
 Vizepräsidentin Petra Pau:   Das Wort hat die Kollegin Mechthild Rawert.
","Mechthild Rawert (SPD):   Herr Minister, mit welchen Auswirkungen auf die      verschiedenen Branchen und auf den Arbeitsmarkt für   Frauen und Männer rechnen Sie?
","Dr. Franz Josef Jung, Bundesminister für Arbeit   und Soziales:      Ich möchte mich jetzt nicht ins Spekulative begeben,   Frau Kollegin.
 Man muss aber zur Kenntnis nehmen,   dass die Situation beispielsweise im Maschinenbau, um   eine Branche zu nennen, noch schwieriger ist als in den  Berufen, die, wie ich vorhin sagte, einen Bezug zur Ge sundheit haben.
 Da dies auch unmittelbar mit dem Export zusammen hängt, kann ich nur hoffen und wünschen, dass wir diese   krisenhafte Situation in dem zeitlichen Rahmen, den ich   dargestellt habe, bewältigen und dass es dann auch für   die besonders betroffenen Unternehmen einschließlich   der Automobilindustrie wieder eine Perspektive gibt.
 Die Entwicklungen in den einzelnen Industriezweigen   sind, wie gesagt, sehr unterschiedlich.
",2,woman
43786,1996,"Ich finde es schade: Was Sie uns in diesem Teil Ihres Gesetzespaketes präsentieren, ist in sich enttäuschend, unzureichend und kleinmütig.
 Das gilt auch für einen Kernpunkt der öffentlichen Auseinandersetzung, nämlich für § 19 des Ausländergesetzes.
 Die Bestimmungen zu diesem Punkt sind seit langem dringend reformbedürftig.
 Herausgekommen ist aber leider lediglich, daß in außerordentlichen Härtefällen die Frist bis zur Erlangung des eigenständigen Aufenthaltsrechts verkürzt werden soll; die eheliche Gemeinschaft muß demnach nur mindestens ein Jahr bestehen.
","Das ist vor allen Dingen für die schwer mißhandelten Frauen ein schwacher Trost.
","Das wird auch die leidige Praxis erzwungener Prostitution nicht eindämmen - eine herbe Enttäuschung für alle, die seit      Dr. Cornelie Sonntag-Wolgast   langem auf eine durchgreifende Besserung gedrängt haben.
 (Erwin Marschewski [CDU/CSU]: Da sind   die meisten in Ihrer Fraktion völlig anderer   Meinung!
 Die haben mir gesagt, das sei   gut!)
 Deswegen fordern wir, im Härtefall die Mindestfrist für die Dauer der ehelichen Gemeinschaft ganz entfallen zu lassen.
",0,woman
85979,1958,"Die Umsetzung in echtes Eigentum geschieht dann für die unmittelbare Gegenwart entweder — nach Lage der Dinge in den selteneren Fällen — durch Übergabe zu Eigentum an Aussiedler und Zuwanderer unmittelbar oder auf dem Wege des Wohnungstausches durch Übereignung an Bewerber, die ihrerseits Mietwohnungen für Flüchtlinge und Aussiedler freimachen, oder auch über die Förderung solcher bereits ansässiger Bauherren, die zugleich mit ihrem Familienheim eine Einlieger- oder zweite Mietwohnung für eine Aussiedler- oder Flüchtlingsfamilie bauen.
 In anderen Fällen wird die Wohnung zunächst als Mietwohnung genutzt.
 Sie ist jedoch jederzeit in eine Eigentumswohnung bei auftretendem Bedarf umzuwandeln nach den bekannten Formen, die das Zweite Wohnungsbaugesetz dafür anbietet, also entweder an den ersten Nutzer, den Zuwanderer und Aussiedler oder je nachdem an seinen Nachfolger.
 Ich brauche nicht zu betonen, daß auch der Wiederaufbau durch die günstigen Finanzierungsbedingungen im Wohnungsbau für Zuwanderer und Aussiedler zu fördern ist, soweit der Bauherr Zuwanderern und Aussiedlern die neu erbauten Wohnungen zu vermieten bereit ist.
","Einer unmittelbaren Versorgung der Aussiedler und Zuwanderer mit Eigentum an der Wohnung sind naturgemäß enge Grenzen gesetzt, da diese Personengruppen die dazu notwendigen Voraussetzungen — von ihrem eigenen Willen abgesehen — erst nach und nach erfüllen in dem Maße, wie sie sich in die übrigen Lebensbeziehungen im Bundesgebiet eingliedern.
","Es werden jedoch alle Anstrengungen zu unternehmen sein, um die Eigentumsbildung für Aussiedler und Flüchtlinge unmittelbar zu fördern, allein schon deshalb, weil es beim ersehnten Tag X nicht nur ihnen selbst, sondern auch dem gesamten deutschen Volk dienen wird, wenn sie nicht mit leeren Händen an den Wiederaufbau der alten Heimat gehen.
 (Beifall bei der CDU/CSU.)
 Eine besondere Schwierigkeit ist hierbei in dem regelmäßigen Fehlen jeden Eigenkapitals zu erblikken.
 Immerhin stellen die zum Ersatz bzw. zur Ergänzung der Eigenleistung gewährten Aufbaudarlehen aus dem Lastenausgleichsfonds hier eine besonders willkommene Hilfe dar.
",1,migrant
67444,2011,"Die ses Ziel verliert der Linken-Antrag völlig aus den Augen.
 Wir lehnen ihn daher ab.
 Sevim Dağdelen (DIE LINKE):   In der ersten Beratung des von der Bundesregierung      eingebrachten Entwurfs eines Gesetzes zur Bekämpfung   der Zwangsheirat und zum besseren Schutz der Opfer  von Zwangsheirat sowie zur Änderung weiterer aufent halts- und asylrechtlicher Vorschriften gerierte sich die   Regierungskoalition als Vertreter der Frauenrechte.
 So  würden sie Zwangsverheiratungen, Scheinehen und ge nerell Gewalt gegen Frauen – seien sie nun physischer   oder psychischer Natur – energisch bekämpfen.
","Doch   wie Frauen aus leidvoller Erfahrung aus den letzten   Jahrzehnten wissen, stehen CDU/CSU und FDP nicht   als frauenpolitische Avantgarde für die Rechte der   Frauen ein, schon gar nicht, wenn es um Migrantinnen   geht.
","Deshalb überrascht es auch nicht, dass gerade   Frauenorganisationen und Beratungsstellen kein gutes  Haar am Gesetzentwurf der Bundesregierung hinsicht lich der Bekämpfung von Zwangsverheiratungen lassen.
 Denn es ist unglaubwürdig, wenn die Bundesregierung  vorgibt, vor allem im Interesse der Opfer von Zwangsverheiratungen zu handeln.
 Ginge es der Bundesregierung tatsächlich um die Opfer von Zwangsverheiratun gen, hätte sie bereits vor Jahren Verbesserungen für die   betroffenen Frauen und im geringeren Umfang auch für   betroffene Männer geschaffen.
 Zur Stärkung der Opfer  von Zwangsheiraten hätte man in Bezug auf flächendeckende, niedrigschwellige Beratungsangebote und Notfallunterbringungen oder in Bezug auf verfahrensrecht liche Änderungen zur Gewährleistung der Sicherheit   und Anonymität der Opfer im Gerichtsverfahren aktiv  werden können und müssen.
",0,woman
63146,2013,"– Nächste Redne   rin in unserer Aussprache ist für die Fraktion Bünd   nis 90/Die Grünen unsere Kollegin Frau Katrin Göring Eckardt.
 Bitte schön, Frau Kollegin Göring-Eckardt.
 Katrin Göring-Eckardt (BÜNDNIS 90/DIE GRÜ NEN):      Herr Präsident!
 Liebe Kolleginnen und Kollegen!
","Es   gibt die aktuelle Studie des Statistischen Bundesamtes,  die sagt, Frauen verdienen im Schnitt 22 Prozent weni ger als Männer.
","Vor kurzem – so steht es auch noch in  unserem Antrag – waren es noch 23 Prozent.
 Die Regie rung sagt an einer solchen Stelle dann gerne: Wir sind   auf einem guten Weg; das ist ein großer Schritt voran.
 (Heiterkeit bei Abgeordneten des BÜNDNIS SES 90/DIE GRÜNEN)      Aber Spaß beiseite.
 Tatsache ist: Deutschland liegt in  der EU ganz am Ende, was die Lohnunterschiede zwi schen Frauen und Männern angeht.
",2,woman
